source_id,target_id,target_type,relation_type,description
18/nh-qđ,18/nh-qđ_11,ARTICLE,CONTAIN,
18/nh-qđ,18/nh-qđ_12,ARTICLE,CONTAIN,
18/nh-qđ,18/nh-qđ_13,ARTICLE,CONTAIN,
18/nh-qđ,18/nh-qđ_14,ARTICLE,CONTAIN,
18/nh-qđ,18/nh-qđ_15,ARTICLE,CONTAIN,
16/nh-qđ,16/nh-qđ_1,ARTICLE,CONTAIN,
16/nh-qđ,16/nh-qđ_2,ARTICLE,CONTAIN,
16/nh-qđ,16/nh-qđ_3,ARTICLE,CONTAIN,
16/nh-qđ,16/nh-qđ_4,ARTICLE,CONTAIN,
35/nhnn-tt,35/nhnn-tt_1,ARTICLE,CONTAIN,
35/nhnn-tt,35/nhnn-tt_2,ARTICLE,CONTAIN,
35/nhnn-tt,35/nhnn-tt_3,ARTICLE,CONTAIN,
35/nhnn-tt,35/nhnn-tt_4,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_1,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_2,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_3,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_4,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_5,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_6,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_7,ARTICLE,CONTAIN,
130/nh-tt,130/nh-tt_8,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_1,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_2,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_3,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_4,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_5,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_6,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_7,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_8,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_9,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_10,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_11,ARTICLE,CONTAIN,
112/nh-qđ,112/nh-qđ_12,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_1,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_2,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_3,ARTICLE,CONTAIN,
111-nh/qđ_3,111-nh/qđ_4,ARTICLE,GUIDE,
111-nh/qđ,111-nh/qđ_4,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_5,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_6,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_7,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_8,ARTICLE,CONTAIN,
111-nh/qđ,111-nh/qđ_9,ARTICLE,CONTAIN,
109-nh/qđ,109-nh/qđ_1,ARTICLE,CONTAIN,
109-nh/qđ,109-nh/qđ_2,ARTICLE,CONTAIN,
109-nh/qđ,109-nh/qđ_3,ARTICLE,CONTAIN,
109-nh/qđ,109-nh/qđ_4,ARTICLE,CONTAIN,
10-ttlb/nh/bđ,10-ttlb/nh/bđ_1,ARTICLE,CONTAIN,
10-ttlb/nh/bđ,10-ttlb/nh/bđ_2,ARTICLE,CONTAIN,
10-ttlb/nh/bđ,10-ttlb/nh/bđ_3,ARTICLE,CONTAIN,
10-ttlb/nh/bđ,10-ttlb/nh/bđ_4,ARTICLE,CONTAIN,
10-ttlb/nh/bđ,10-ttlb/nh/bđ_5,ARTICLE,CONTAIN,
8-ttlb/nh/bđ,8-ttlb/nh/bđ_1,ARTICLE,CONTAIN,
8-ttlb/nh/bđ,8-ttlb/nh/bđ_2,ARTICLE,CONTAIN,
8-ttlb/nh/bđ,8-ttlb/nh/bđ_3,ARTICLE,CONTAIN,
8-ttlb/nh/bđ,8-ttlb/nh/bđ_4,ARTICLE,CONTAIN,
8-ttlb/nh/bđ,8-ttlb/nh/bđ_5,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_1,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_2,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_3,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_4,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_5,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_6,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_7,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_8,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_9,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_10,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_11,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_12,ARTICLE,CONTAIN,
9-ttlb/nh/bđ,9-ttlb/nh/bđ_13,ARTICLE,CONTAIN,
218-ct,218-ct_1,ARTICLE,CONTAIN,
218-ct,218-ct_2,ARTICLE,CONTAIN,
128/ct,128/ct_1,ARTICLE,CONTAIN,
128/ct,128/ct_2,ARTICLE,CONTAIN,
128/ct,128/ct_3,ARTICLE,CONTAIN,
126/ct,126/ct_1,ARTICLE,CONTAIN,
126/ct,126/ct_2,ARTICLE,CONTAIN,
126/ct,126/ct_3,ARTICLE,CONTAIN,
126/ct,126/ct_4,ARTICLE,CONTAIN,
